,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk,Gross leverage,Daily turnover
V,0.007366160594115989,0.028443081100003376,0.016834969075286782,0.4443620066111382,0.4131460417034802,0.4158057145778353,-0.017829435237341013,1.0946963504720122,0.635634671690671,0.06824796208976598,9.141263183225321,0.9673835497202419,-0.002091320942033854,0.06731671899058354,0.6181394182084093
WM,0.004129475609549127,0.015872656200002222,0.008785080833768425,0.47347795253579933,0.372735592193868,0.8730238809590881,-0.011078833618339555,1.105117464136129,0.6940240413787913,0.8867240022219953,23.759531290855424,1.1078256427030797,-0.001090310029837224,0.050308305618234544,0.6021548464232463
VRSK,0.005533479681518294,0.02131141999999686,0.018978745154614483,0.30020962950522306,0.3290694802730825,0.5268790015316743,-0.016815535968046216,1.0792544161776156,0.47054014540591504,4.2014774169000395,94.05376980991474,1.0136056543209726,-0.0023684876049636636,0.07280258536359135,0.6025360525512582
FISV,0.005307969838016513,0.020436405000002322,0.008973910286954772,0.5944120003350056,0.6425109230167896,0.9026621646029849,-0.008261291205905007,1.1264505919679986,0.8738532449390625,0.7181413328789487,21.00777961196937,1.1296069268157218,-0.001109438963970411,0.04280518214945204,0.6081546951260088
MA,0.1399930920395267,0.649862562800005,0.17086020719918837,0.8435336946442662,1.0742060489012284,0.31598135728704346,-0.13032238291966539,2.0078595370944403,3.4289139701446922,16.704367479708253,335.5028075781075,1.066745207993409,-0.02095443279613423,0.1613687369615491,0.5143389736463478
IDXX,0.05235086029733216,0.21530420000000117,0.15136916380939336,0.4102043485238001,0.27922498275237806,0.6633955518158863,-0.1874863050623156,1.2895840516403663,0.7675981771184344,6.066995550744555,120.70083389301142,0.9827583695769793,-0.018824324103231805,0.14831042802240532,0.46564528447900166
VRSN,0.021906041028806333,0.08633391000000246,0.02876158904949174,0.767633513214357,0.8551439683202526,0.785762412611328,-0.025616787161389987,1.2930239742834648,1.4737130710455495,10.928505448129682,268.95079382140244,1.1525710113326042,-0.003536007077715222,0.06213000723022181,0.5370453420202451
MCO,0.007861937482774195,0.030378640199999474,0.024162236337314364,0.33617657771313814,0.16906300208551342,0.2547259280552805,-0.04650300412149054,1.0789491431211937,0.47336450452895484,0.47117724900372526,20.72157907935935,1.0829103352601888,-0.0030119223955978143,0.08696370336239732,0.5532776427387325
MKC,0.0059160076430122555,0.022796957600000445,0.027256788621549476,0.23015740368185839,0.14715700278509553,9.825830078937733e-05,-0.04020201234766821,1.0750490953751164,0.2896713259331812,-8.270885609718672,217.3322616656012,1.0477560525506309,-0.0034091383296375325,0.08159851900206436,0.5775334198337356
INTU,0.05063833011756591,0.20776385449999935,0.054417606666601906,0.9344186206639592,2.233177291982114,0.7658031331124048,-0.022675463475011676,1.4677387890838713,2.2420342562191826,10.109147806870345,166.83732939993575,1.1234975622926775,-0.006654192957288374,0.11691933662593279,0.5274357760468483
O,-9.749237214284889e-05,-0.00036864139999948087,0.002317156110651021,-0.3196391675063234,-0.038476403985364976,0.2635622811872384,-0.0025338223442068924,0.8983500076081274,-0.44490397344931404,,,0.9035531009246286,-0.0002948733319942296,0.006620263743938271,0.018925829651254753
FIS,0.004863217025798061,0.018712313900000055,0.012896872893192728,0.3826222078600132,0.27576123386655094,0.8181814791835734,-0.01763560801353071,1.08143510765177,0.5029492962456842,-1.6961503083305725,17.049907329171937,1.0217436489052443,-0.001605271390510687,0.05806620431375109,0.5875583744970004
SNPS,0.011690264211055457,0.04541548999999634,0.012210862833437995,0.9579331328233456,0.7691708997821853,0.95610674417061,-0.015198526379983849,1.2371572357007872,1.4101746131575417,0.29090066125589276,18.91157707860589,0.9804814310068068,-0.0014920066909566273,0.047233062516102445,0.613412845119589
FB,0.014312055402708745,0.055806374599998376,0.04343912104511964,0.3485339611358805,0.20442326131159186,0.8535015380007522,-0.07001187296828033,1.1232750010766062,0.5981522749933487,8.285606034406031,232.87423863645995,0.9494110233640272,-0.005412735430767096,0.0927770979513287,0.5308175973457198
TSS,0.0006199635660890657,0.0023712193000056114,0.013189980822188375,0.053583022047804574,0.027531439337680822,0.047582444863705164,-0.022518385562230826,1.0116395082396232,0.06862503893732379,-1.850284380913996,16.222455774987612,0.9953229400847263,-0.0016589767841486307,0.04836642996817972,0.6120937283720636
